,compound,x,Temperature,rho,w_mass,w_vol,Viscosity,Kin_viscosity,E
4170,peta,30.302472243878253,24.5,1.16,9.75,13.681230947887936,149.62,128.98275862068965,57886.5728098312
4171,peta,30.302472243878253,24.600000000000023,1.16,9.75,13.681230947887935,148.60000000000002,128.1034482758621,57886.5728098312
4172,peta,30.302472243878253,24.69999999999999,1.16,9.75,13.681230947887936,147.21935483870965,126.91323692992214,57886.5728098312
4173,peta,30.302472243878253,24.80000000000001,1.16,9.75,13.681230947887936,145.28666666666663,125.2471264367816,57886.572809831196
4174,peta,30.302472243878253,24.899999999999977,1.16,9.75,13.681230947887936,143.2,123.44827586206898,57886.5728098312
4175,peta,30.302472243878253,24.910000000000025,1.16,9.75,13.681230947887936,143.8,123.96551724137933,57886.5728098312
4176,peta,30.302472243878253,25.0,1.16,9.75,13.681230947887936,141.73043478260868,122.18140929535231,57886.572809831196
4177,peta,30.302472243878253,25.100000000000023,1.16,9.75,13.681230947887936,141.05294117647057,121.5973630831643,57886.5728098312
4178,peta,30.302472243878253,25.19999999999999,1.16,9.75,13.681230947887936,140.70000000000005,121.2931034482759,57886.5728098312
4179,peta,30.302472243878253,25.30000000000001,1.16,9.75,13.681230947887936,161.4,139.13793103448276,57886.5728098312
4180,peta,30.302472243878253,25.399999999999977,1.16,9.75,13.681230947887936,138.00000000000006,118.96551724137937,57886.5728098312
4181,peta,30.302472243878253,25.5,1.16,9.75,13.681230947887936,138.0,118.96551724137932,57886.5728098312
4182,peta,30.302472243878253,25.600000000000023,1.16,9.75,13.681230947887936,136.27777777777777,117.48084291187742,57886.5728098312
4183,peta,30.302472243878253,25.69999999999999,1.16,9.75,13.681230947887936,135.99999999999997,117.24137931034481,57886.5728098312
4184,peta,30.302472243878253,25.80000000000001,1.16,9.75,13.681230947887936,134.27307692307687,115.75265251989389,57886.5728098312
4185,peta,30.302472243878253,25.899999999999977,1.16,9.75,13.681230947887936,133.34038461538464,114.94860742705572,57886.5728098312
4186,peta,30.302472243878253,26.0,1.16,9.75,13.681230947887936,131.89310344827587,113.70095124851368,57886.572809831196
4187,peta,30.302472243878253,26.19999999999999,1.16,9.75,13.681230947887935,129.99999999999997,112.06896551724135,57886.5728098312
4188,peta,30.302472243878253,26.30000000000001,1.16,9.75,13.681230947887936,129.6,111.72413793103449,57886.5728098312
4189,peta,30.302472243878253,26.399999999999977,1.16,9.75,13.681230947887936,128.5709677419355,110.83704115684095,57886.5728098312
4190,peta,30.302472243878253,26.5,1.16,9.75,13.681230947887936,128.00714285714287,110.3509852216749,57886.5728098312
4191,peta,30.302472243878253,26.600000000000023,1.16,9.75,13.681230947887936,126.91111111111111,109.40613026819925,57886.5728098312
4192,peta,30.302472243878253,26.69999999999999,1.16,9.75,13.681230947887936,125.37413793103448,108.08115338882283,57886.572809831196
4193,peta,30.302472243878253,26.70999999999998,1.16,9.75,13.681230947887936,125.50000000000003,108.18965517241382,57886.5728098312
4194,peta,30.302472243878253,26.80000000000001,1.16,9.75,13.681230947887938,123.68693181818183,106.62666536050159,57886.57280983121
4195,peta,30.302472243878253,26.810000000000002,1.16,9.75,13.681230947887935,123.66666666666664,106.60919540229884,57886.5728098312
